season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,defending__recovered_ball,defending__tackles,defending__tackles_won,defending__tackles_lost,defending__clearance_attempted,defending__matches_appearance
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,,,,,,2.0
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,,,,,,2.0
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,,,,,,2.0
1992,50056,GLE,Glentoran,Glentoran,Northern Ireland,Irlanda del Norte,,,,,,2.0
1992,50020,LYN,Lyngby,Lyngby,Denmark,Dinamarca,,,,,,2.0
1992,2602334,ZAL,Žalgiris,Žalgiris,Lithuania,Lituania,,,,,,2.0
1993,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,12.0
1993,50058,MIL,Milan,Milan,Italy,Italia,,,,,,12.0
1993,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,11.0
1993,50023,MON,Monaco,Monaco,France,Francia,,,,,,11.0
1993,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,,10.0
1993,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,10.0
1993,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,10.0
1993,50040,BRM,Bremen,Bremen,Germany,Alemania,,,,,,10.0
1993,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,,,,4.0
1993,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,,4.0
1993,52709,CPH,Copenhagen,Copenhagen,Denmark,Dinamarca,,,,,,4.0
1993,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,4.0
1993,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,,,,4.0
1993,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,,4.0
1993,50044,LSO,Levski Sofia,Levski Sofia,Bulgaria,Bulgaria,,,,,,4.0
1993,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,4.0
1993,59034,BEI,Beitar,Beitar,Israel,Israel,,,,,,2.0
1993,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,,,,2.0
1993,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,2.0
1993,52803,COR,Cork,Cork,Republic of Ireland,República de Irlanda,,,,,,2.0
1993,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,2.0
1993,52341,AIK,AIK,AIK,Sweden,Suecia,,,,,,2.0
1993,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,,2.0
1993,50161,DMI,Dinamo-Minsk,Dinamo-Minsk,Belarus,Bielorrusia,,,,,,2.0
1993,50135,AKR,ÍA,ÍA,Iceland,Islandia,,,,,,2.0
1993,50134,LIN,Linfield,Linfield,Northern Ireland,Irlanda del Norte,,,,,,2.0
1993,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,,2.0
1993,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,2.0
1993,50092,FLO,Floriana,Floriana,Malta,Malta,,,,,,2.0
1993,50054,HON,Honvéd,Honvéd,Hungary,Hungría,,,,,,2.0
1993,50052,HJK,HJK,HJK,Finland,Finlandia,,,,,,2.0
1993,50035,AAR,Aarau,Aarau,Switzerland,Suiza,,,,,,2.0
1994,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,,11.0
1994,50058,MIL,Milan,Milan,Italy,Italia,,,,,,11.0
1994,52747,PSG,Paris,Paris,France,Francia,,,,,,10.0
1994,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,10.0
1994,52359,HAJ,Hajduk Split,Hajduk Split,Croatia,Croacia,,,,,,8.0
1994,50147,BEN,Benfica,Benfica,Portugal,Portugal,,,,,,8.0
1994,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,8.0
1994,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,,8.0
1994,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,6.0
1994,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,6.0
1994,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,,6.0
1994,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,,6.0
1994,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,6.0
1994,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,6.0
1994,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,,6.0
1994,50030,SAL,Salzburg,Salzburg,Austria,Austria,,,,,,6.0
1995,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,,11.0
1995,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,11.0
1995,52693,NAN,Nantes,Nantes,France,Francia,,,,,,10.0
1995,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,,10.0
1995,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,,8.0
1995,50146,LEG,Legia Warszawa,Legia Warszawa,Poland,Polonia,,,,,,8.0
1995,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,8.0
1995,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,8.0
1995,54186,AAL,AaB,AaB,Denmark,Dinamarca,,,,,,6.0
1995,53344,BLA,Blackburn,Blackburn,England,Inglaterra,,,,,,6.0
1995,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,6.0
1995,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,,,,,6.0
1995,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,6.0
1995,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,,6.0
1995,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,6.0
1995,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,,,,,6.0
1996,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,,11.0
1996,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,11.0
1996,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,10.0
1996,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,,10.0
1996,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,8.0
1996,52269,AJA,Auxerre,Auxerre,France,Francia,,,,,,8.0
1996,50124,ATM,Atleti,Atleti,Spain,España,,,,,,8.0
1996,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,8.0
1996,52752,WID,Widzew,Widzew,Poland,Polonia,,,,,,6.0
1996,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,,,,,,6.0
1996,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,6.0
1996,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,,6.0
1996,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,,6.0
1996,50058,MIL,Milan,Milan,Italy,Italia,,,,,,6.0
1996,50042,RAP,SK Rapid,SK Rapid,Austria,Austria,,,,,,6.0
1996,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,,,,,6.0
1997,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,11.0
1997,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,11.0
1997,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,,10.0
1997,50023,MON,Monaco,Monaco,France,Francia,,,,,,10.0
1997,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,8.0
1997,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,8.0
1997,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,,8.0
1997,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,8.0
1997,8404,LIE,Lierse,Lierse,Belgium,Bélgica,,,,,,6.0
1997,59324,NEW,Newcastle,Newcastle,England,Inglaterra,,,,,,6.0
1997,59029,KOS,Košice,Košice,Slovakia,Eslovaquia,,,,,,6.0
1997,54262,PAR,Parma,Parma,Italy,Italia,,,,,,6.0
1997,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,6.0
1997,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,,6.0
1997,52747,PSG,Paris,Paris,France,Francia,,,,,,6.0
1997,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,,6.0
1997,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,,,,,6.0
1997,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,6.0
1997,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,6.0
1997,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,,6.0
1997,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,6.0
1997,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
1997,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,6.0
1997,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,6.0
1998,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,11.0
1998,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,11.0
1998,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,10.0
1998,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,10.0
1998,50138,INT,Inter,Inter,Italy,Italia,,,,,,8.0
1998,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,8.0
1998,3695,KAI,Kaiserslautern,Kaiserslautern,Germany,Alemania,,,,,,8.0
1998,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,8.0
1998,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,6.0
1998,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,6.0
1998,52277,LEN,Lens,Lens,France,Francia,,,,,,6.0
1998,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,,6.0
1998,50147,BEN,Benfica,Benfica,Portugal,Portugal,,,,,,6.0
1998,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,,6.0
1998,50125,ATH,Athletic Club,Athletic Club,Spain,España,,,,,,6.0
1998,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,,,,6.0
1998,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,,6.0
1998,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,6.0
1998,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,6.0
1998,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,6.0
1998,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,6.0
1998,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
1998,50052,HJK,HJK,HJK,Finland,Finlandia,,,,,,6.0
1998,50021,BRO,Brøndby,Brøndby,Denmark,Dinamarca,,,,,,6.0
1999,52268,VAL,Valencia,Valencia,Spain,España,,,,,,17.0
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,17.0
1999,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,16.0
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,16.0
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,,14.0
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,,,,,,14.0
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,14.0
1999,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,14.0
1999,5451,HER,Hertha,Hertha,Germany,Alemania,,,,,,12.0
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,,,,,,12.0
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,12.0
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,,12.0
1999,52748,MAR,Marseille,Marseille,France,Francia,,,,,,12.0
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,12.0
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,,,,,,12.0
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,12.0
1999,57490,MRB,Maribor,Maribor,Slovenia,Eslovenia,,,,,,6.0
1999,52987,WIL,Willem II,Willem II,Netherlands,Holanda,,,,,,6.0
1999,52819,BOA,Boavista,Boavista,Portugal,Portugal,,,,,,6.0
1999,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,,6.0
1999,52341,AIK,AIK,AIK,Sweden,Suecia,,,,,,6.0
1999,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,6.0
1999,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,,6.0
1999,50142,MOL,Molde,Molde,Norway,Noruega,,,,,,6.0
1999,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,6.0
1999,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,,,,6.0
1999,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,,6.0
1999,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,6.0
1999,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,6.0
1999,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
1999,50058,MIL,Milan,Milan,Italy,Italia,,,,,,6.0
1999,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,6.0
2000,52268,VAL,Valencia,Valencia,Spain,España,,,,,,17.0
2000,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,17.0
2000,53361,LEE,Leeds,Leeds,England,Inglaterra,,,,,,16.0
2000,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,16.0
2000,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,,14.0
2000,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,14.0
2000,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,14.0
2000,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,14.0
2000,5312,LYO,Lyon,Lyon,France,Francia,,,,,,12.0
2000,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,,12.0
2000,52747,PSG,Paris,Paris,France,Francia,,,,,,12.0
2000,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,,,,12.0
2000,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,,12.0
2000,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,,12.0
2000,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,12.0
2000,50058,MIL,Milan,Milan,Italy,Italia,,,,,,12.0
2000,60401,HEL,Helsingborg,Helsingborg,Sweden,Suecia,,,,,,6.0
2000,59862,HVN,Heerenveen,Heerenveen,Netherlands,Holanda,,,,,,6.0
2000,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,6.0
2000,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,6.0
2000,52707,SHK,Shakhtar,Shakhtar,Ukraine,Ucrania,,,,,,6.0
2000,52167,HSV,Hamburg,Hamburg,Germany,Alemania,,,,,,6.0
2000,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,,6.0
2000,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,,,,,6.0
2000,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,6.0
2000,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,6.0
2000,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,,6.0
2000,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,6.0
2000,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
2000,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,6.0
2000,50023,MON,Monaco,Monaco,France,Francia,,,,,,6.0
2000,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,6.0
2001,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,,17.0
2001,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,17.0
2001,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,16.0
2001,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,16.0
2001,7889,LIV,Liverpool,Liverpool,England,Inglaterra,,,,,,14.0
2001,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,,14.0
2001,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,,14.0
2001,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,14.0
2001,52819,BOA,Boavista,Boavista,Portugal,Portugal,,,,,,12.0
2001,52693,NAN,Nantes,Nantes,France,Francia,,,,,,12.0
2001,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,12.0
2001,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,12.0
2001,50137,ROM,Roma,Roma,Italy,Italia,,,,,,12.0
2001,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,12.0
2001,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,12.0
2001,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,12.0
2001,75797,LIL,Lille,Lille,France,Francia,,,,,,6.0
2001,57388,SCH,Schalke,Schalke,Germany,Alemania,,,,,,6.0
2001,5312,LYO,Lyon,Lyon,France,Francia,,,,,,6.0
2001,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,,,,,,6.0
2001,53044,MAL,Mallorca,Mallorca,Spain,España,,,,,,6.0
2001,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,,6.0
2001,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,6.0
2001,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,,6.0
2001,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,,6.0
2001,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,6.0
2001,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,,,,,,6.0
2001,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,,6.0
2001,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,6.0
2001,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
2001,50050,CEL,Celtic,Celtic,Scotland,Escocia,,,,,,6.0
2001,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,6.0
2002,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,17.0
2002,50058,MIL,Milan,Milan,Italy,Italia,,,,,,17.0
2002,50138,INT,Inter,Inter,Italy,Italia,,,,,,16.0
2002,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,16.0
2002,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,14.0
2002,52268,VAL,Valencia,Valencia,Spain,España,,,,,,14.0
2002,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,,14.0
2002,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,14.0
2002,59856,BSL,Basel,Basel,Switzerland,Suiza,,,,,,12.0
2002,59324,NEW,Newcastle,Newcastle,England,Inglaterra,,,,,,12.0
2002,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,,12.0
2002,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,,,,,,12.0
2002,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,,12.0
2002,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,12.0
2002,50137,ROM,Roma,Roma,Italy,Italia,,,,,,12.0
2002,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,,12.0
2002,7889,LIV,Liverpool,Liverpool,England,Inglaterra,,,,,,6.0
2002,61582,GEN,Genk,Genk,Belgium,Bélgica,,,,,,6.0
2002,59045,MHA,Maccabi Haifa,Maccabi Haifa,Israel,Israel,,,,,,6.0
2002,5312,LYO,Lyon,Lyon,France,Francia,,,,,,6.0
2002,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,,6.0
2002,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,,6.0
2002,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,6.0
2002,52277,LEN,Lens,Lens,France,Francia,,,,,,6.0
2002,52269,AJA,Auxerre,Auxerre,France,Francia,,,,,,6.0
2002,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,,6.0
2002,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,,6.0
2002,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,6.0
2002,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
2002,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,,,,,6.0
2002,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,6.0
2002,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,6.0
2003,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,13.0
2003,50023,MON,Monaco,Monaco,France,Francia,,,,,,13.0
2003,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,,12.0
2003,52914,CHE,Chelsea,Chelsea,England,Inglaterra,,,,,,12.0
2003,5312,LYO,Lyon,Lyon,France,Francia,,,,,,10.0
2003,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,10.0
2003,50058,MIL,Milan,Milan,Italy,Italia,,,,,,10.0
2003,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,10.0
2003,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,,,,,,8.0
2003,53043,CLT,Celta,Celta,Spain,España,,,,,,8.0
2003,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,8.0
2003,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,8.0
2003,50123,RSO,Real Sociedad,Real Sociedad,Spain,España,,,,,,8.0
2003,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,,,,,,8.0
2003,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,8.0
2003,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,,8.0
2003,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,,6.0
2003,52748,MAR,Marseille,Marseille,France,Francia,,,,,,6.0
2003,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,,6.0
2003,50162,PRT,Partizan,Partizan,Serbia,Serbia,,,,,,6.0
2003,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,,6.0
2003,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,,6.0
2003,50138,INT,Inter,Inter,Italy,Italia,,,,,,6.0
2003,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,,6.0
2003,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,,6.0
2003,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,,6.0
2003,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,,6.0
2003,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,,6.0
2003,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,6.0
2003,50050,CEL,Celtic,Celtic,Scotland,Escocia,,,,,,6.0
2003,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,,,,,6.0
2003,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,,6.0
2004,7889,LIV,Liverpool,Liverpool,England,Inglaterra,,,,,,13.0
2004,50058,MIL,Milan,Milan,Italy,Italia,,,,,,13.0
2004,52914,CHE,Chelsea,Chelsea,England,Inglaterra,,,,,,12.0
2004,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,12.0
2004,5312,LYO,Lyon,Lyon,France,Francia,,,,,,10.0
2004,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,,10.0
2004,50138,INT,Inter,Inter,Italy,Italia,,,,,,10.0
2004,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,,10.0
2004,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,,8.0
2004,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,,8.0
2004,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,,8.0
2004,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,,8.0
2004,50064,POR,Porto,Porto,Portugal,Portugal,,,,,,8.0
2004,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,,8.0
2004,50040,BRM,Bremen,Bremen,Germany,Alemania,,,,,,8.0
2004,50023,MON,Monaco,Monaco,France,Francia,,,,,,8.0
2004,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,,6.0
2004,57477,MTA,M. Tel-Aviv,M. Tel-Aviv,Israel,Israel,,,,,,6.0
2004,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,,,,,,6.0
