season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,key__minutes_played_official,key__matches_appearance,key__goals,key__assists,key__distance_covered,key__top_speed
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,3420,Andy Cole,54.0,1971-10-15,ENG,,MALE,FORWARD,,,Cole,,1053.0,13.0,3.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,29962,Sylvain Wiltord,51.0,1974-05-10,FRA,,MALE,FORWARD,,,Wiltord,6,1049.0,12.0,4.0,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,8327,Roy Keane,54.0,1971-08-10,IRL,,MALE,MIDFIELDER,UNKNOWN,,Roy Keane,,1048.0,12.0,6.0,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,14054,Mehmet Scholl,55.0,1970-10-16,GER,GER,MALE,MIDFIELDER,,,Scholl,7,1021.0,12.0,3.0,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6885,Roar Strand,55.0,1970-02-02,NOR,,MALE,MIDFIELDER,,,Strand,6,1014.0,12.0,1.0,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,22808,Paulo Sérgio,56.0,1969-06-02,BRA,,MALE,FORWARD,,,Paulo Sergio,,1012.0,13.0,7.0,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,33466,Tomáš Rosický,45.0,1980-10-04,CZE,,MALE,MIDFIELDER,ATTACKING_MIDFIELDER,50033,Rosický,10,1008.0,12.0,2.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,40919,Lassina Diabate,51.0,1974-09-16,CIV,,MALE,MIDFIELDER,,,Diabate,,1003.0,12.0,,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,22771,Angelo Di Livio,59.0,1966-07-26,ITA,,MALE,MIDFIELDER,,,di Livio,,995.0,12.0,,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,15612,Capucho,53.0,1972-02-21,POR,,MALE,FORWARD,,,Capucho,,994.0,13.0,1.0,,,
