season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_other,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50058,MIL,Milan,Milan,Italy,Italia,5521,Demetrio Albertini,54.0,1971-08-23,ITA,ITA,MALE,MIDFIELDER,,,Albertini,,1.0,1.0,,,,,,,7.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,120,Erwin Koeman,64.0,1961-09-20,NED,NED,MALE,,UNKNOWN,,,,1.0,1.0,,,,,,,7.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,8273,Marc Hottiger,58.0,1967-11-07,SUI,,MALE,,,,Hottiger,,1.0,1.0,,,,,,,4.0
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,5198,Sulejman Demollari,61.0,1964-05-15,ALB,,MALE,,,,Demollari,,1.0,1.0,,,,,,,4.0
1992,50080,BAR,Barcelona,Barcelona,Spain,España,5092,Guillermo Amor,57.0,1967-12-04,ESP,,MALE,,UNKNOWN,,,,1.0,1.0,,,,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,4766,Ralf Hasenhüttl,58.0,1967-08-09,AUT,,MALE,,,,,,1.0,1.0,,,,,,,4.0
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,4335,Alexios Alexandris,57.0,1968-10-21,GRE,,MALE,FORWARD,,,Alexandris,,1.0,1.0,,,,,,,4.0
1992,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,1546,Miroslaw Trzeciak,57.0,1968-04-11,POL,,MALE,,,53004,Trzeciak,,1.0,1.0,,,,,,,4.0
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,15270,Gabor Gerstenmajer,58.0,1967-09-13,ROU,,MALE,,,,Gerstenmajer,,1.0,1.0,,,,,,,4.0
1992,52797,SLB,S. Bratislava,S. Bratislava,Slovakia,Eslovaquia,15072,Pavol Gostic,59.0,1966-11-05,SVK,,MALE,,,,Gostic,,1.0,1.0,,,,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,1357,Walter Kogler,57.0,1967-12-12,AUT,AUT,MALE,DEFENDER,,77867,Kogler,,1.0,1.0,,,,,,,4.0
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,362,Refik Sabanadzovic,60.0,1965-08-02,SRB,,MALE,DEFENDER,,,Sabanadzovic,,1.0,1.0,,,,,,,3.0
1992,52797,SLB,S. Bratislava,S. Bratislava,Slovakia,Eslovaquia,2334,Stanislav Moravec,61.0,1964-03-08,SVK,,MALE,,,,Moravec,,1.0,1.0,,,,,,,3.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1879,Gary McSwegan,55.0,1970-09-24,SCO,,MALE,FORWARD,,,McSwegan,,1.0,1.0,,,,,,,3.0
1992,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,7466,Péter Lipcsei,53.0,1972-03-28,HUN,,MALE,MIDFIELDER,,,Lipcsei,,1.0,1.0,,,,,,,2.0
