season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,distribution__passes_accuracy,distribution__passes_attempted,distribution__passes_completed,distribution__cross_accuracy,distribution__cross_attempted,distribution__cross_completed,distribution__free_kick,distribution__matches_appearance
1992,50064,POR,Porto,Porto,Portugal,Portugal,5909,Edvaldo,59.0,1966-03-10,BRA,,MALE,,,,Alves,,,,,0.0,,,,6.0
1992,50058,MIL,Milan,Milan,Italy,Italia,412,Frank Rijkaard,63.0,1962-09-30,NED,NED,MALE,DEFENDER,UNKNOWN,,Rijkaard,,,,,0.0,,,,6.0
1992,50058,MIL,Milan,Milan,Italy,Italia,2992,Zvonimir Boban,57.0,1968-10-08,CRO,CRO,MALE,MIDFIELDER,UNKNOWN,,Boban,,,,,0.0,,,,6.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1713,Fernando Barbosa,62.0,1962-11-26,POR,,MALE,,,,Barbosa,,,,,0.0,,,,6.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1707,Jaime Magalhães,63.0,1962-07-10,POR,,MALE,,,,Magalhães,,,,,0.0,,,,6.0
1992,50058,MIL,Milan,Milan,Italy,Italia,12099,Sebastiano Rossi,61.0,1964-07-20,ITA,,MALE,GOALKEEPER,,,Rossi,,,,,0.0,,,,6.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,8347,Peter Hoekstra,52.0,1973-04-04,NED,,MALE,FORWARD,,,Hoekstra,,,,,0.0,,,,6.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11952,Daniel Amokachi,52.0,1972-12-30,NGA,,MALE,,,,Amokachi,,,,,0.0,,,,6.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,8162,Marc Schaessens,57.0,1968-09-14,BEL,,MALE,MIDFIELDER,,,Schaessens,,,,,0.0,,,,6.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,8848,Pieter Huistra,58.0,1967-01-18,NED,,MALE,MIDFIELDER,,,Huistra,,,,,0.0,,,,6.0
1992,50058,MIL,Milan,Milan,Italy,Italia,421,Roberto Donadoni,62.0,1963-09-09,ITA,ITA,MALE,,,,Donadoni,,,,,0.0,,,,6.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,113,Berry van Aerle,62.0,1962-12-08,NED,,MALE,DEFENDER,UNKNOWN,,Van Aerle,,,,,0.0,,,,6.0
1992,50058,MIL,Milan,Milan,Italy,Italia,422,Alberico Evani,62.0,1963-01-01,ITA,,MALE,FORWARD,,,Evani,,,,,0.0,,,,6.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,677,Pascal Plovie,60.0,1965-05-07,BEL,,MALE,,,,,,,,,0.0,,,,6.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,7877,Raymond Beerens,53.0,1972-02-14,NED,,MALE,,,,Beerens,,,,,0.0,,,,6.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,9841,Lee Chapman,65.0,1959-12-05,ENG,,MALE,,,,Chapman,,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,8861,Gary Speed,56.0,1969-09-08,WAL,,MALE,MIDFIELDER,,68215,Speed,6,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,8522,Gary McAllister,60.0,1964-12-25,SCO,,MALE,,,,,,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,67,Tony Dorigo,59.0,1965-12-31,ENG,,MALE,DEFENDER,UNKNOWN,,Dorigo,,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,11284,Christopher Whyte,64.0,1961-09-02,ENG,,MALE,,,,Whyte,,,,,0.0,,,,5.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,11005,Serguei Fokine,64.0,1961-07-26,URS,,MALE,,,,Fokine,,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,10048,John Lukic,64.0,1960-12-11,ENG,,MALE,GOALKEEPER,,,Lukic,,,,,0.0,,,,5.0
1992,50058,MIL,Milan,Milan,Italy,Italia,411,Marco van Basten,61.0,1964-10-31,NED,NED,MALE,FORWARD,UNKNOWN,,Van Basten,,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,9892,Chris Fairclough,61.0,1964-04-12,ENG,,MALE,DEFENDER,,,Fairclough,,,,,0.0,,,,5.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,46050,Dmitri Kharin,57.0,1968-08-16,RUS,,MALE,GOALKEEPER,,,Kharin,,,,,0.0,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,5329,Eric Cantona,59.0,1966-05-24,FRA,FRA,MALE,FORWARD,UNKNOWN,,Cantona,,,,,0.0,,,,5.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11953,Foeke Booy,63.0,1962-04-25,NED,,MALE,,,,Booy,,,,,0.0,,,,5.0
1992,50058,MIL,Milan,Milan,Italy,Italia,14684,Stefano Nava,56.0,1969-02-19,ITA,,MALE,DEFENDER,,,Nava,,,,,0.0,,,,5.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,92072,Oleksiy Mykhailychenko,62.0,1963-03-30,URS,,MALE,,,,Mikhailichenko,,,,,0.0,,,,5.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2175,Jonas Olsson,55.0,1970-01-14,SWE,,MALE,,,,Olsson,,,,,0.0,,,,5.0
1992,52748,MAR,Marseille,Marseille,France,Francia,5513,Jean-Christophe Thomas,61.0,1964-10-16,FRA,,MALE,,,,Thomas,,,,,0.0,,,,5.0
1992,50058,MIL,Milan,Milan,Italy,Italia,13421,Stefano Eranio,58.0,1966-12-29,ITA,,MALE,MIDFIELDER,,,Eranio,,,,,0.0,,,,5.0
1992,50058,MIL,Milan,Milan,Italy,Italia,18923,Enzo Gambaro,59.0,1966-02-23,ITA,,MALE,DEFENDER,UNKNOWN,,Gambaro,,,,,0.0,,,,5.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,9172,Dominique Herr,60.0,1965-10-25,SUI,,MALE,,,,Herr,,,,,0.0,,,,4.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,,,,,,,,,,,,0.0,,,,4.0
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,8703,Tibor Selymes,55.0,1970-05-14,ROU,,MALE,DEFENDER,,,Selymes,,,,,0.0,,,,4.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,8273,Marc Hottiger,58.0,1967-11-07,SUI,,MALE,,,,Hottiger,,,,,0.0,,,,4.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,7925,David Batty,56.0,1968-12-02,ENG,,MALE,MIDFIELDER,,,Batty,,,,,0.0,,,,4.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,7477,Rui Filipe,57.0,1968-03-08,POR,,MALE,,UNKNOWN,,Bastos,,,,,0.0,,,,4.0
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,6774,Toni Savevski,62.0,1963-06-14,MKD,,MALE,,,,Savevski,,,,,0.0,,,,4.0
